id	name	ID	to	FC	log2FC	|log2FC|	p	lgP	Super.Class	from	tgt_proteins_lgpadj	ss_metabolites_lgpadj	co_metabolites_lgpadj
1	name1	NA	NA1	NA	NA	NA	NA	NA	NA	group1	NA	NA	NA
2	name2	NA	NA2	NA	NA	NA	NA	NA	NA	group1	NA	NA	NA
3	name3	HMDB0033364	Conhydrinone	0.195796126	-2.352575878	2.352575878	0.0485	1.314258261	Organoheterocyclic compounds	C	0	0	15.91779412
4	name4	HMDB0037260	Todatriol glucoside	0.204319473	-2.291101385	2.291101385	0.0472	1.326058001	Lipids and lipid-like molecules	C	0	0	15.91779412
5	name5	HMDB0028876	Hydroxyprolyl-Valine	0.22910568	-2.125914869	2.125914869	0.0451	1.345823458	Organic acids and derivatives	C	0	0	20.37145653
6	name6	HMDB0000194	Anserine	0.250593103	-1.996581388	1.996581388	0.0158	1.801342913	Organic acids and derivatives	C	0	0	11.06059928
7	name7	HMDB0000479	3-Methylhistidine	0.259669583	-1.945251063	1.945251063	0.00232	2.634512015	Organic acids and derivatives	C	0	0	23.04580789
8	name8	HMDB0001336	DOPAC	0.27778521	-1.847958308	1.847958308	0.0089	2.050609993	Benzenoids	C	0	3.037122437	21.91934271
9	name9	HMDB0003459	D-Alanyl-D-alanine	0.292945295	-1.771296814	1.771296814	0.0388	1.411168274	Organic acids and derivatives	C	0	0	3.505343059
10	name10	HMDB0029370	O-Methylcorypalline	0.29880654	-1.742716368	1.742716368	0.0437	1.359518563	Organoheterocyclic compounds	C	0	0	7.981491129
11	name11	HMDB0033465	Feruloyl-2-hydroxyputrescine	0.309559618	-1.691710809	1.691710809	0.000731	3.136082623	Phenylpropanoids and polyketides	C	0	0	7.981491129
12	name12	HMDB0038953	Fragransin B2	0.316010802	-1.661954223	1.661954223	0.0119	1.924453039	Others	C	0	0	11.06059928
13	name13	HMDB0028955	Lysyl-Leucine	0.331698536	-1.592055449	1.592055449	0.0284	1.54668166	Organic acids and derivatives	C	0	0	30.19110433
14	name14	HMDB0031852	2-Methoxy-3-methylpyrazine	0.34609574	-1.530756911	1.530756911	0.0482	1.316952962	Organoheterocyclic compounds	C	0	0	23.04580789
15	name15	HMDB0002302	Indole-3-propionic acid	0.379818925	-1.396616305	1.396616305	0.0243	1.614393726	Organoheterocyclic compounds	C	0	0.883108121	7.773931684
16	name16	HMDB0029073	Threoninyl-Tyrosine	0.385834994	-1.373944098	1.373944098	0.0089	2.050609993	Organic acids and derivatives	C	0	0	9.950168388
17	name17	HMDB0035141	HMDB0035141	0.400546519	-1.319958291	1.319958291	0.00722	2.141462802	Lipids and lipid-like molecules	C	0	0	21.91934271
18	name18	HMDB0001389	Melatonin	0.403697071	-1.308654976	1.308654976	0.039	1.408935393	Organoheterocyclic compounds	C	10.47335597	10.02747081	11.06059928
19	name19	HMDB0031933	HMDB0031933	0.404867141	-1.304479537	1.304479537	0.0365	1.437707136	Lipids and lipid-like molecules	C	0	0	22.63615251
20	name20	HMDB0001476	3-Hydroxyanthranilic acid	0.426247216	-1.230237682	1.230237682	0.00373	2.428291168	Benzenoids	C	0	0	11.49041199
21	name21	HMDB0029792	Dieporeticenin	0.426928832	-1.227932499	1.227932499	0.0449	1.347753659	Lipids and lipid-like molecules	C	0	0	20.37145653
22	name22	HMDB0005766	Norophthalmic acid	0.429326293	-1.219853566	1.219853566	0.0392	1.406713933	Organic acids and derivatives	C	0	4.389348531	11.06059928
23	name23	HMDB0028699	Alanyl-Tyrosine	0.44419951	-1.170720295	1.170720295	0.0234	1.630784143	Organic acids and derivatives	C	0	3.037122437	7.981491129
24	name24	HMDB0038709	"8,13-Abietadien-18-al"	0.465238259	-1.103958354	1.103958354	0.04	1.397940009	Lipids and lipid-like molecules	C	0	0	15.91779412
25	name25	HMDB0001565	Phosphorylcholine	0.476749598	-1.068696373	1.068696373	0.0056	2.251811973	Others	C	28.26116002	1.862851722	21.91934271
26	name26	HMDB0036670	6beta-Hydroxyasiatic acid	0.483933852	-1.047118233	1.047118233	0.0131	1.882728704	Lipids and lipid-like molecules	C	0	3.543557368	9.986660471
27	name27	HMDB0038447	HMDB0038447	0.490633206	-1.027283215	1.027283215	0.0213	1.671620397	Others	C	0	0	0
28	name28	HMDB0032305	HMDB0032305	0.49473073	-1.01528458	1.01528458	0.0245	1.610833916	Organoheterocyclic compounds	C	0	0	20.37145653
29	name29	HMDB0114783	PA(14:0/20:0)	0.505380675	-0.984557597	0.984557597	0.0292	1.534617149	Lipids and lipid-like molecules	C	0	0	0
30	name30	HMDB0032574	Propylparaben	0.507342681	-0.97896756	0.97896756	0.0364	1.438898616	Benzenoids	C	0	3.233627273	7.796712588
31	name31	HMDB0029382	Genomorphine	0.516347821	-0.953584876	0.953584876	0.036	1.443697499	Others	C	0	0	11.06059928
32	name32	HMDB0004243	12-HPETE	0.517098704	-0.951488406	0.951488406	0.0161	1.793174124	Lipids and lipid-like molecules	C	0	2.035850802	15.91779412
33	name33	HMDB0035404	Isogingerenone B	0.529415136	-0.917528653	0.917528653	0.0182	1.739928612	Phenylpropanoids and polyketides	C	0	3.747644249	11.06059928
34	name34	HMDB0036382	6-Deoxyfagomine	0.536235872	-0.899060361	0.899060361	0.00269	2.57024772	Organoheterocyclic compounds	C	0	0	11.06059928
35	name35	HMDB0011112	HMDB0011112	0.541501735	-0.884962135	0.884962135	0.0191	1.718966633	"Nucleosides, nucleotides, and analogues"	C	0	0	21.91934271
36	name36	HMDB0029390	L-Furosine	0.548684164	-0.865952157	0.865952157	0.029	1.537602002	Organic acids and derivatives	C	0	0	11.06059928
37	name37	HMDB0036604	N-Methylcalystegine B2	0.551735205	-0.857952056	0.857952056	0.0284	1.54668166	Others	C	0	0	11.06059928
38	name38	HMDB0029147	N-gamma-Glutamylglutamine	0.556772375	-0.844840462	0.844840462	0.0294	1.53165267	Organic acids and derivatives	C	0	0	11.06059928
39	name39	HMDB0032985	HMDB0032985	0.56416824	-0.825802644	0.825802644	0.00601	2.221125528	Organoheterocyclic compounds	C	0	0	7.796712588
40	name40	HMDB0003431	L-Histidinol	0.564224091	-0.825659829	0.825659829	0.00628	2.202040356	Others	C	0	0	11.06059928
41	name41	HMDB0002886	6-Keto-prostaglandin F1a	0.568719413	-0.814211045	0.814211045	0.0105	1.978810701	Lipids and lipid-like molecules	C	0	21.21618467	11.49041199
42	name42	HMDB0000484	Vanillic acid	0.56981066	-0.811445484	0.811445484	0.0186	1.730487056	Benzenoids	C	0	5.926214718	21.91934271
43	name43	HMDB0005099	Thromboxane B3	0.56990978	-0.811194543	0.811194543	0.0142	1.847711656	Lipids and lipid-like molecules	C	0	0	15.91779412
44	name44	HMDB0004062	Gentisate aldehyde	0.57962959	-0.786796848	0.786796848	0.0143	1.844663963	Organic oxygen compounds	C	0	0	21.91934271
45	name45	HMDB0000235	Thiamine	0.583845057	-0.776342544	0.776342544	0.0062	2.207608311	Organoheterocyclic compounds	C	0	0	7.796712588
46	name46	HMDB0029741	HMDB0029741	0.60385069	-0.727736228	0.727736228	0.0453	1.343901798	Organoheterocyclic compounds	C	0	0	11.49041199
47	name47	HMDB0030896	Momordicilin	0.605701438	-0.723321258	0.723321258	0.015	1.823908741	Lipids and lipid-like molecules	C	0	0	20.37145653
48	name48	HMDB0034276	"L,L-Cyclo(leucylprolyl)"	0.610228377	-0.712578825	0.712578825	0.0483	1.316052869	Organic acids and derivatives	C	0	0	0
49	name49	HMDB0039696	HMDB0039696	0.616874011	-0.696952228	0.696952228	0.0371	1.43062609	Lipids and lipid-like molecules	C	0	0	11.06059928
50	name50	HMDB0062635	(R)-mandelic Acid	0.625401231	-0.677146035	0.677146035	0.045	1.346787486	Benzenoids	C	0	0	7.773931684
51	name51	HMDB0011599	1-Methyladenine	0.629268733	-0.668251834	0.668251834	0.0399	1.399027104	Organoheterocyclic compounds	C	0	0	7.796712588
52	name52	HMDB0039132	"[4]-Gingerdiol 3,5-diacetate"	0.629549555	-0.66760815	0.66760815	0.0285	1.54515514	Benzenoids	C	0	0	7.796712588
53	name53	HMDB0000190	L-Lactic acid	0.631413104	-0.663343892	0.663343892	0.0231	1.63638802	Organic acids and derivatives	C	1.079026362	4.067376358	7.773931684
54	name54	HMDB0000784	Azelaic acid	0.643883795	-0.635127754	0.635127754	0.0453	1.343901798	Lipids and lipid-like molecules	C	0	6.594115266	11.49041199
55	name55	HMDB0031642	N-Nitroso-pyrrolidine	0.645354512	-0.631836202	0.631836202	0.0118	1.928117993	Organoheterocyclic compounds	C	0	0	7.773931684
56	name56	HMDB0004339	2-O-Methylcytosine	0.646198235	-0.629951286	0.629951286	0.0464	1.333482019	Organoheterocyclic compounds	C	0	0	5.741436317
57	name57	NA	NA3	NA	NA	NA	NA	NA	NA	group2	NA	NA	NA
58	name58	NA	NA4	NA	NA	NA	NA	NA	NA	group2	NA	NA	NA
59	name59	HMDB0041477	2-Ethyl-1-hexanethiol	1.527135129	0.610827725	0.610827725	0.031	1.508638306	Others	P	0	0	14.38176696
60	name60	HMDB0000518	Chenodeoxycholic acid	1.57649658	0.656722041	0.656722041	0.0246	1.609064893	Lipids and lipid-like molecules	P	0	21.5303826	41.6358609
61	name61	HMDB0039871	HMDB0039871	1.607757485	0.685049806	0.685049806	0.0402	1.395773947	Benzenoids	P	0	0	7.574407868
62	name62	HMDB0032565	(4-Ethoxyphenyl)urea	1.609937379	0.687004573	0.687004573	0.0412	1.385102784	Benzenoids	P	0	0	42.98658526
63	name63	HMDB0029086	Tryptophyl-Isoleucine	1.623608681	0.699203959	0.699203959	0.0462	1.335358024	Organic acids and derivatives	P	0	1.265344077	14.38176696
64	name64	HMDB0030273	Dehydrocarpaine II	1.656814632	0.7284122	0.7284122	0.0475	1.32330639	Phenylpropanoids and polyketides	P	0	0	7.574407868
65	name65	HMDB0036368	HMDB0036368	1.657975002	0.729422255	0.729422255	0.0174	1.759450752	Lipids and lipid-like molecules	P	0	5.913915117	42.11505243
