Annotation	baseMean.CX	log2FoldChange.CX	lfcSE.CX	stat.CX	pvalue.CX	padj.CX	baseMean.QJ	log2FoldChange.QJ	lfcSE.QJ	stat.QJ	pvalue.QJ	padj.QJ	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Annotation2	q0.2	direction
Absiella_argi	2890.7966267113	0.418515225286633	0.211692231638399	1.97699850413745	0.0480417992808122	0.404960613205589	4185.548288	-0.092318659	0.209197898	-0.441298214	0.658997119	0.853403524	333.022137	0.067670252	0.332064409	0.203786524	0.838520324	0.999634334	Absiella_argi		
Absiella_sp._9CBEGH2	110.15737648381	1.32784095472488	0.508664743556955	2.61044424946705	0.00904247095042835	0.178710339859003	270.9365365	-0.915172408	0.331159686	-2.763538098	0.005717842	0.054637154	190.5845606	-0.209167927	0.295649227	-0.707486803	0.479264011	0.999634334	Absiella_sp._9CBEGH2		
Acaryochloris_marina	26.9712990679452	0.0508669954175188	0.485005050309078	0.104879310813574	0.91647157599417		25.18138428	-0.180191955	0.47776742	-0.37715413	0.706059067		10.11388872	-0.472896862	1.31232322	-0.360350906	0.718584735	0.999634334	Acaryochloris_marina		
Acetoanaerobium_sticklandii	50.9115931587084	-0.014200702212802	0.362046346337089	-0.0392234374313509	0.968712247644208	0.99244796796937	83.43947131	-0.464605745	0.252004526	-1.843640483	0.065235552	0.259418428	62.23650444	0.061933832	0.313924623	0.197288864	0.843601493	0.999634334	Acetoanaerobium_sticklandii		
Acetobacter_aceti	22.101239544876	-0.0552563150873346	0.915994105068971	-0.0603238763017738	0.951897686032051		13.47414268	0.080996652	0.663533261	0.122068714	0.9028446		887.4946918	-0.22278083	0.418019963	-0.53294304	0.59407301	0.999634334	Acetobacter_aceti		
Acetobacter_ascendens	7.62153440216532	0.42010622817128	1.87824759697146	0.223669248318843	0.823014676018976		1.174492546	-0.540847957	2.908163813	-0.185975754	0.852463775		39.1055478	-0.994772937	1.124008051	-0.885022964	0.376144246	0.999634334	Acetobacter_ascendens		
Acetobacter_ghanensis	32.4856086376757	0.214484869210815	0.488426020950621	0.439134812664903	0.660563855559175		43.15454331	0.154310479	0.325217979	0.474483235	0.635155351		19.09323392	0.105846023	0.949997711	0.111417135	0.911285573	0.999634334	Acetobacter_ghanensis		
Acetobacter_orientalis	9.87548367649422	0.507559947991028	1.00527895809335	0.504894630395612	0.61363284573669		28.8680498	-0.611199198	0.626777402	-0.975145557	0.329488063		25.39429416	0.264233907	0.406980792	0.649254001	0.516174213	0.999634334	Acetobacter_orientalis		
Acetobacter_oryzifermentans	2.6520847353629	-2.12006672679526	2.90334647234664	-0.730214856197204	0.465258863015483		0	0	0	0	1								Acetobacter_oryzifermentans		
Acetobacter_oryzoeni	0	0	0	0	1		2.513920443	-4.726110131	2.471181299	-1.912490246	0.055813342								Acetobacter_oryzoeni		
Acetobacter_pasteurianus	19.7726663495786	-1.71576704873443	1.20472745072234	-1.42419519676892	0.154389974942321		29.75223941	-0.260536055	0.525182933	-0.496086294	0.619833529		88.95998235	0.512310883	0.970975297	0.527625043	0.597759608	0.999634334	Acetobacter_pasteurianus		
Acetobacter_persici	10.2702033293844	0.919130140789847	1.00468962782999	0.914839882218213	0.360275694182852		14.65098757	-0.002191193	0.755260926	-0.00290124	0.997685149		13.92355333	0.805356386	1.10246642	0.730504233	0.465082027	0.999634334	Acetobacter_persici		
Acetobacter_pomorum	0	0	0	0	1														Acetobacter_pomorum		
Acetobacter_senegalensis	13.0919812179578	-0.847041891928815	1.54003588942274	-0.550014384564971	0.582309507419394		27.67480508	-0.664083328	0.554397211	-1.197847527	0.230976381								Acetobacter_senegalensis		
Acetobacter_sp._KACC_21233	6.96851503741038	0.135144629881129	1.13477509897096	0.119093756995268	0.905201076739435		32.2887929	-0.302259964	0.458188362	-0.659684944	0.50945603		41.30532923	-0.292632106	0.276092353	-1.059906594	0.289187095	0.984639623	Acetobacter_sp._KACC_21233		
Acetobacter_tropicalis	7.94949833633755	0.335818381651158	1.76811171329669	0.189930522560147	0.849363574241306		32.27474444	-0.316203232	0.515387236	-0.613525539	0.539528901								Acetobacter_tropicalis		
Acetobacteraceae_bacterium	30.0945537903392	0.810222206843891	0.716653370842725	1.13056358876975	0.258238820074942		27.00245117	-0.136341404	0.661323183	-0.206164561	0.836662369		48.39782149	0.222860209	0.309505423	0.720052681	0.47149256	0.999634334	Acetobacteraceae_bacterium		
Acetobacterium_sp._KB-1	57.3671712674332	-0.289593821875323	0.26729654677898	-1.0834177446923	0.278623042927987	0.755015296022637	110.7400689	-0.105011671	0.228694657	-0.459178506	0.646105984	0.842475894	88.12871318	0.133426146	0.401102826	0.332648232	0.739399831	0.999634334	Acetobacterium_sp._KB-1		
Acetobacterium_woodii	86.3712933319033	0.439768488706573	0.274045884975406	1.60472575147786	0.108554172175267	0.561581876169987	126.0479214	-0.239730959	0.190807203	-1.256404134	0.208969484	0.49435463	122.0842678	0.053058737	0.337230073	0.157336909	0.874979333	0.999634334	Acetobacterium_woodii		
Acetohalobium_arabaticum	19.4375851812082	0.699111463220722	0.770516051212901	0.907328876692734	0.364232908106544		40.01562708	-0.685833051	0.333873634	-2.054169546	0.039959285		29.91035735	-0.437678946	0.552366902	-0.792369971	0.428144984	0.999634334	Acetohalobium_arabaticum		
Acetomicrobium_mobile	25.6491879701116	0.221525571215459	1.06944978211898	0.207139760014289	0.83590071140604		37.09431826	-0.252050773	0.573007612	-0.439873342	0.660028844		62.22711098	0.841996146	0.588904056	1.429767952	0.15278363	0.881450452	Acetomicrobium_mobile		
Acholeplasma_axanthum	36.8556994491729	-0.438058465200657	0.533266343412524	-0.821462802991458	0.411382703326426		66.39438566	-0.947054145	0.359057794	-2.63760921	0.008349274	0.070521543	30.76341071	0.218192596	0.439430541	0.496534891	0.619517077	0.999634334	Acholeplasma_axanthum	QJ	decrease
Acholeplasma_brassicae	60.9049735108493	0.0360026193218239	0.411696130676578	0.0874494964590935	0.930314227553578	0.984392841477025	116.3207514	-0.233580205	0.252134095	-0.926412609	0.354231594	0.626946843	46.03287753	0.743859505	0.449197128	1.655975649	0.09772675	0.849525366	Acholeplasma_brassicae		
Acholeplasma_hippikon	41.1047631350935	-0.162783155258721	0.644120438752471	-0.252721611464462	0.800483346338546	0.9701983501176	60.55489976	-0.417153751	0.338530533	-1.232248528	0.217856261	0.5047539	26.57128857	-0.829022417	0.895870543	-0.925381936	0.354767272	0.999634334	Acholeplasma_hippikon		
Acholeplasma_laidlawii	33.6662255766497	-0.191455156556217	0.505994401296001	-0.378374061186931	0.705152734552752		48.69036862	0.132202021	0.260844495	0.506823123	0.612278931	0.819890229	18.52302534	-0.509837053	1.160778041	-0.439220105	0.660502059	0.999634334	Acholeplasma_laidlawii		
